,Date,Open,High,Low,Close,Adj Close,Volume
0,2024-01-02,28.24,29.105,28.139999,28.559999,28.559999,1712900
1,2024-01-03,28.18,28.365,27.190001,27.32,27.32,1668500
2,2024-01-04,27.360001,28.014999,27.110001,28.0,28.0,3365600
3,2024-01-05,27.6,28.59,27.6,28.1,28.1,1154400
4,2024-01-08,28.1,28.969999,27.9,28.280001,28.280001,1642400
5,2024-01-09,28.1,28.75,28.0,28.52,28.52,1871000
6,2024-01-10,28.610001,28.735001,27.6,28.49,28.49,954900
7,2024-01-11,28.5,29.58,28.280001,29.32,29.32,3273600
8,2024-01-12,29.24,29.608,28.82,29.540001,29.540001,2806600
9,2024-01-16,29.09,29.68,28.91,29.309999,29.309999,1676100
10,2024-01-17,28.85,29.52,28.690001,29.459999,29.459999,2016100
11,2024-01-18,29.799999,30.139999,29.375,30.049999,30.049999,1868300
12,2024-01-19,30.15,30.559999,29.700001,30.52,30.52,1734000
13,2024-01-22,30.85,31.629999,30.85,31.559999,31.559999,2523100
14,2024-01-23,31.719999,31.860001,31.26,31.440001,31.440001,2114600
15,2024-01-24,31.51,31.620001,29.58,29.719999,29.719999,2669600
16,2024-01-25,30.040001,30.105,29.42,29.76,29.76,1195800
17,2024-01-26,29.889999,30.1,29.035,29.040001,29.040001,1563000
18,2024-01-29,29.15,29.385,28.950001,29.17,29.17,2614400
19,2024-01-30,28.860001,28.860001,26.924999,27.27,27.27,2398700
20,2024-01-31,27.299999,27.940001,26.870001,26.950001,26.950001,1238200
21,2024-02-01,27.049999,27.59,26.9,27.5,27.5,1273700
22,2024-02-02,27.23,27.610001,26.92,27.49,27.49,1050600
23,2024-02-05,27.24,27.347,26.84,27.25,27.25,1118900
24,2024-02-06,27.360001,27.985001,27.215,27.450001,27.450001,1882400
25,2024-02-07,27.42,27.865,27.059999,27.4,27.4,1199800
26,2024-02-08,27.4,28.6,27.4,28.24,28.24,3735800
27,2024-02-09,24.969999,30.57,24.6,28.59,28.59,7100200
28,2024-02-12,28.0,30.49,27.639999,30.459999,30.459999,3189500
29,2024-02-13,29.49,29.68,28.0,29.02,29.02,2982500
30,2024-02-14,29.5,29.74,28.76,29.4,29.4,1621400
31,2024-02-15,29.9,30.360001,29.459999,30.34,30.34,1383000
32,2024-02-16,30.0,31.08,29.875,30.33,30.33,2335200
33,2024-02-20,29.65,30.139999,29.17,29.4,29.4,1405700
34,2024-02-21,29.155001,29.155001,28.209999,29.02,29.02,1284500
35,2024-02-22,29.0,29.1,28.290001,29.01,29.01,2349300
36,2024-02-23,29.27,29.32,28.091,28.290001,28.290001,1642900
37,2024-02-26,28.07,28.459999,27.83,27.99,27.99,1307800
38,2024-02-27,28.26,29.059999,27.879999,28.66,28.66,995100
39,2024-02-28,28.32,28.33,27.882999,27.940001,27.940001,1133400
40,2024-02-29,28.15,28.389999,27.73,28.23,28.23,1259800
41,2024-03-01,27.879999,28.74,27.85,28.049999,28.049999,1245100
42,2024-03-04,28.15,28.700001,27.719999,28.629999,28.629999,1229500
43,2024-03-05,28.32,28.469999,27.68,27.74,27.74,930000
44,2024-03-06,28.09,28.25,27.49,28.110001,28.110001,992400
45,2024-03-07,28.379999,29.139999,28.275,28.690001,28.690001,805000
46,2024-03-08,28.950001,29.135,27.85,27.91,27.91,1022800
47,2024-03-11,27.799999,28.290001,27.629999,27.700001,27.700001,825700
48,2024-03-12,27.75,28.059999,27.5,27.66,27.66,785200
49,2024-03-13,27.639999,28.139999,27.6,27.9,27.9,823200
50,2024-03-14,27.780001,28.35,27.610001,27.85,27.85,1553200
51,2024-03-15,27.76,28.32,27.530001,27.879999,27.879999,2435600
52,2024-03-18,28.07,28.190001,27.624001,27.879999,27.879999,827400
53,2024-03-19,27.6,28.725,27.5,28.48,28.48,947700
54,2024-03-20,28.4,28.51,27.370001,28.49,28.49,1243000
55,2024-03-21,28.639999,28.9,27.360001,28.02,28.02,1416000
56,2024-03-22,27.870001,27.98,27.620001,27.639999,27.639999,1097800
57,2024-03-25,27.889999,27.889999,26.73,26.91,26.91,2021300
58,2024-03-26,27.18,27.32,26.66,26.99,26.99,1576400
59,2024-03-27,27.26,27.349001,26.844999,26.99,26.99,1745200
60,2024-03-28,26.99,27.200001,26.775,26.91,26.91,1429700
61,2024-04-01,26.969999,26.969999,25.423,26.41,26.41,3428900
62,2024-04-02,25.99,25.99,25.389999,25.799999,25.799999,2178100
63,2024-04-03,25.639999,26.040001,25.120001,25.700001,25.700001,1516000
64,2024-04-04,26.18,26.5,25.6,25.6,25.6,2058200
65,2024-04-05,25.540001,25.940001,25.495001,25.809999,25.809999,1059300
66,2024-04-08,25.99,26.247,25.58,25.780001,25.780001,3215900
67,2024-04-09,25.85,26.76,25.844999,26.42,26.42,1068000
68,2024-04-10,25.809999,26.09,25.790001,25.85,25.85,939100
69,2024-04-11,26.1,26.49,25.83,26.42,26.42,1054100
70,2024-04-12,26.200001,26.440001,25.65,25.870001,25.870001,1381800
71,2024-04-15,25.99,26.075001,25.389999,25.42,25.42,1808600
72,2024-04-16,25.190001,25.219999,24.73,25.059999,25.059999,2681600
73,2024-04-17,25.190001,25.65,25.120001,25.190001,25.190001,1144800
74,2024-04-18,25.190001,25.459999,24.799999,24.82,24.82,1334800
75,2024-04-19,24.799999,25.15,24.42,24.629999,24.629999,1679000
76,2024-04-22,24.629999,24.83,24.35,24.790001,24.790001,885100
77,2024-04-23,24.610001,25.155001,24.555,24.58,24.58,1363700
78,2024-04-24,24.639999,24.84,23.809999,23.91,23.91,1800300
79,2024-04-25,23.82,23.879999,23.26,23.59,23.59,2225500
80,2024-04-26,23.66,24.1,23.540001,23.82,23.82,874500
81,2024-04-29,24.0,24.559999,23.99,24.27,24.27,1092500
82,2024-04-30,24.0,24.52,23.98,24.290001,24.290001,995400
83,2024-05-01,24.33,24.625,23.945,24.01,24.01,1428700
84,2024-05-02,24.280001,24.421,23.83,24.32,24.32,741500
85,2024-05-03,24.76,24.959,24.07,24.09,24.09,716700
86,2024-05-06,24.27,24.610001,23.91,24.6,24.6,944300
87,2024-05-07,24.66,24.690001,24.190001,24.370001,24.370001,1303300
88,2024-05-08,24.07,24.094999,23.620001,23.879999,23.879999,928300
89,2024-05-09,23.92,24.16,23.6,23.76,23.76,1196800
90,2024-05-10,23.879999,24.059999,23.030001,23.370001,23.370001,1598400
91,2024-05-13,23.58,23.605,22.959999,22.99,22.99,1900300
92,2024-05-14,23.299999,24.26,23.299999,23.51,23.51,1828700
93,2024-05-15,23.879999,23.93,23.27,23.85,23.85,2204700
94,2024-05-16,23.85,23.959999,23.52,23.74,23.74,4906100
95,2024-05-17,28.809999,29.0,26.209999,28.030001,28.030001,9982900
